latitude,longitude,probability,risk_level,elevation,temp_C,rain_7d_mm
26.35,88.04999999999954,0.1003,LOW,62.0,25.3,47.9
26.35,88.09999999999954,0.1003,LOW,67.0,25.3,47.9
26.35,88.19999999999953,0.1061,LOW,71.0,25.2,72.9
26.450000000000003,88.14999999999954,0.1073,LOW,75.0,25.2,43.9
26.500000000000004,85.04999999999971,0.095,LOW,67.0,28.1,36.2
26.500000000000004,85.2499999999997,0.0898,LOW,69.0,27.7,33.3
26.500000000000004,85.2999999999997,0.0899,LOW,69.0,27.7,33.3
26.500000000000004,85.64999999999968,0.1014,LOW,61.0,27.7,22.6
26.500000000000004,85.94999999999966,0.0982,LOW,63.0,27.5,30.3
26.500000000000004,86.09999999999965,0.0907,LOW,64.0,27.5,30.3
26.500000000000004,86.14999999999965,0.0998,LOW,67.0,27.1,34.7
26.500000000000004,86.24999999999964,0.1039,LOW,73.0,27.1,34.7
26.500000000000004,86.64999999999962,0.0961,LOW,73.0,26.8,56.1
26.500000000000004,86.69999999999962,0.1035,LOW,78.0,26.8,56.1
26.500000000000004,86.74999999999962,0.1146,LOW,74.0,26.8,56.1
26.500000000000004,87.0499999999996,0.0803,LOW,79.0,26.5,39.6
26.500000000000004,88.19999999999953,0.1075,LOW,74.0,25.2,43.9
26.550000000000004,84.89999999999972,0.0968,LOW,70.0,28.1,36.2
26.550000000000004,85.3499999999997,0.086,LOW,71.0,27.7,33.3
26.550000000000004,85.74999999999967,0.0887,LOW,60.0,27.7,22.6
26.550000000000004,85.84999999999967,0.0971,LOW,60.0,27.7,22.6
26.550000000000004,86.04999999999966,0.0911,LOW,70.0,27.5,30.3
26.550000000000004,86.09999999999965,0.1036,LOW,69.0,27.5,30.3
26.550000000000004,86.34999999999964,0.0997,LOW,81.0,27.1,34.7
26.550000000000004,88.19999999999953,0.0987,LOW,89.0,25.2,43.9
26.600000000000005,84.89999999999972,0.0952,LOW,68.0,28.1,36.2
26.600000000000005,84.94999999999972,0.1112,LOW,68.0,28.1,36.2
26.600000000000005,85.1999999999997,0.0888,LOW,70.0,27.7,33.3
26.600000000000005,85.64999999999968,0.0843,LOW,64.0,27.7,22.6
26.600000000000005,85.74999999999967,0.0868,LOW,67.0,27.7,22.6
26.600000000000005,85.79999999999967,0.0973,LOW,67.0,27.7,22.6
26.600000000000005,85.89999999999966,0.0988,LOW,64.0,27.5,30.3
26.600000000000005,86.09999999999965,0.0896,LOW,75.0,27.5,30.3
26.600000000000005,86.14999999999965,0.1207,LOW,70.0,27.1,34.7
26.600000000000005,86.79999999999961,0.1019,LOW,104.0,26.8,56.1
26.600000000000005,86.84999999999961,0.1014,LOW,99.0,26.8,56.1
26.600000000000005,88.19999999999953,0.0946,LOW,110.0,25.2,43.9
26.65000000000001,84.24999999999976,0.1032,LOW,83.0,28.1,20.6
26.65000000000001,84.34999999999975,0.1191,LOW,75.0,28.1,20.6
26.65000000000001,84.64999999999974,0.0948,LOW,75.0,27.8,23.2
26.65000000000001,84.99999999999972,0.0874,LOW,67.0,27.9,20.5
26.65000000000001,85.2999999999997,0.1009,LOW,72.0,27.7,29.3
26.65000000000001,85.3999999999997,0.0972,LOW,71.0,27.8,26.6
26.65000000000001,85.54999999999968,0.0937,LOW,71.0,27.8,26.6
26.65000000000001,85.89999999999966,0.1006,LOW,69.0,27.5,38.1
26.65000000000001,86.64999999999962,0.1049,LOW,134.0,26.3,68.5
26.65000000000001,86.74999999999962,0.0983,LOW,176.0,26.3,68.5
26.65000000000001,86.84999999999961,0.0948,LOW,146.0,26.3,68.5
26.65000000000001,86.89999999999961,0.1028,LOW,107.0,26.0,61.9
26.65000000000001,87.34999999999958,0.1126,LOW,125.0,25.9,49.3
26.65000000000001,87.39999999999958,0.1208,LOW,125.0,26.0,43.1
26.65000000000001,87.49999999999957,0.0973,LOW,144.0,26.0,43.1
26.65000000000001,87.59999999999957,0.1227,LOW,123.0,26.0,43.1
26.65000000000001,87.79999999999956,0.1065,LOW,141.0,25.9,37.0
26.65000000000001,88.04999999999954,0.1145,LOW,139.0,24.7,38.5
26.65000000000001,88.09999999999954,0.1163,LOW,121.0,24.7,38.5
26.700000000000006,84.14999999999976,0.1035,LOW,83.0,28.1,20.6
26.700000000000006,84.29999999999976,0.1058,LOW,80.0,28.1,20.6
26.700000000000006,84.34999999999975,0.0894,LOW,79.0,28.1,20.6
26.700000000000006,84.64999999999974,0.0885,LOW,81.0,27.8,23.2
26.700000000000006,84.89999999999972,0.0931,LOW,67.0,27.9,20.5
26.700000000000006,84.99999999999972,0.0884,LOW,67.0,27.9,20.5
26.700000000000006,85.1999999999997,0.0913,LOW,75.0,27.7,29.3
26.700000000000006,85.3999999999997,0.1011,LOW,72.0,27.8,26.6
26.700000000000006,85.59999999999968,0.0966,LOW,68.0,27.8,26.6
26.700000000000006,85.99999999999966,0.0989,LOW,78.0,27.5,38.1
26.700000000000006,86.04999999999966,0.0947,LOW,78.0,27.5,38.1
26.700000000000006,86.09999999999965,0.1053,LOW,82.0,27.5,38.1
26.700000000000006,86.64999999999962,0.0975,LOW,274.0,26.3,68.5
26.700000000000006,86.69999999999962,0.0883,LOW,267.0,26.3,68.5
26.700000000000006,86.74999999999962,0.0891,LOW,239.0,26.3,68.5
26.700000000000006,86.79999999999961,0.0917,LOW,209.0,26.3,68.5
26.700000000000006,86.84999999999961,0.09,LOW,233.0,26.3,68.5
26.700000000000006,86.89999999999961,0.0927,LOW,159.0,26.0,61.9
26.700000000000006,86.9999999999996,0.0945,LOW,92.0,26.0,61.9
26.700000000000006,87.29999999999959,0.0969,LOW,137.0,25.9,49.3
26.700000000000006,87.34999999999958,0.0932,LOW,166.0,25.9,49.3
26.700000000000006,87.39999999999958,0.0937,LOW,180.0,26.0,43.1
26.700000000000006,87.44999999999958,0.0927,LOW,191.0,26.0,43.1
26.700000000000006,87.49999999999957,0.0908,LOW,215.0,26.0,43.1
26.700000000000006,87.54999999999957,0.0926,LOW,202.0,26.0,43.1
26.700000000000006,87.59999999999957,0.0893,LOW,161.0,26.0,43.1
26.700000000000006,87.79999999999956,0.0944,LOW,255.0,25.9,37.0
26.700000000000006,87.84999999999955,0.0917,LOW,251.0,25.9,37.0
26.700000000000006,87.89999999999955,0.0998,LOW,379.0,24.7,38.5
26.700000000000006,88.04999999999954,0.0926,LOW,169.0,24.7,38.5
26.700000000000006,88.09999999999954,0.1129,LOW,170.0,24.7,38.5
