latitude,longitude,probability,risk_level
26.35,88.04999999999954,0.5026,HIGH
26.35,88.09999999999954,0.5174,HIGH
26.35,88.19999999999953,0.5432,HIGH
26.450000000000003,88.14999999999954,0.529,HIGH
26.500000000000004,85.04999999999971,0.3776,MEDIUM
26.500000000000004,85.2499999999997,0.4527,HIGH
26.500000000000004,85.2999999999997,0.4527,HIGH
26.500000000000004,85.64999999999968,0.1792,LOW
26.500000000000004,85.94999999999966,0.1534,LOW
26.500000000000004,86.09999999999965,0.2768,LOW
26.500000000000004,86.14999999999965,0.1611,LOW
26.500000000000004,86.24999999999964,0.1495,LOW
26.500000000000004,86.64999999999962,0.1428,LOW
26.500000000000004,86.69999999999962,0.1051,LOW
26.500000000000004,86.74999999999962,0.1,LOW
26.500000000000004,87.0499999999996,0.5063,HIGH
26.500000000000004,87.24999999999959,0.3111,MEDIUM
26.500000000000004,87.29999999999959,0.1996,LOW
26.500000000000004,87.54999999999957,0.4627,HIGH
26.500000000000004,87.94999999999955,0.6511,HIGH
26.500000000000004,87.99999999999955,0.6295,HIGH
26.500000000000004,88.04999999999954,0.5701,HIGH
26.500000000000004,88.19999999999953,0.529,HIGH
26.550000000000004,84.59999999999974,0.3801,MEDIUM
26.550000000000004,84.84999999999972,0.1609,LOW
26.550000000000004,84.89999999999972,0.208,LOW
26.550000000000004,85.3499999999997,0.4614,HIGH
26.550000000000004,85.44999999999969,0.1121,LOW
26.550000000000004,85.54999999999968,0.3174,MEDIUM
26.550000000000004,85.74999999999967,0.363,MEDIUM
26.550000000000004,85.84999999999967,0.0876,LOW
26.550000000000004,86.04999999999966,0.3152,MEDIUM
26.550000000000004,86.09999999999965,0.1445,LOW
26.550000000000004,86.34999999999964,0.1672,LOW
26.550000000000004,86.49999999999963,0.2819,LOW
26.550000000000004,87.39999999999958,0.2606,LOW
26.550000000000004,87.54999999999957,0.2433,LOW
26.550000000000004,87.59999999999957,0.2205,LOW
26.550000000000004,87.69999999999956,0.2328,LOW
26.550000000000004,87.99999999999955,0.3633,MEDIUM
26.550000000000004,88.04999999999954,0.2906,LOW
26.550000000000004,88.19999999999953,0.5246,HIGH
26.600000000000005,84.44999999999975,0.0822,LOW
26.600000000000005,84.74999999999973,0.3941,MEDIUM
26.600000000000005,84.89999999999972,0.3642,MEDIUM
26.600000000000005,84.94999999999972,0.1509,LOW
26.600000000000005,85.1999999999997,0.3156,MEDIUM
26.600000000000005,85.49999999999969,0.131,LOW
26.600000000000005,85.64999999999968,0.3938,MEDIUM
26.600000000000005,85.74999999999967,0.4028,HIGH
26.600000000000005,85.79999999999967,0.1619,LOW
26.600000000000005,85.89999999999966,0.1353,LOW
26.600000000000005,86.09999999999965,0.283,LOW
26.600000000000005,86.14999999999965,0.1153,LOW
26.600000000000005,86.79999999999961,0.2562,LOW
26.600000000000005,86.84999999999961,0.2433,LOW
26.600000000000005,87.19999999999959,0.2858,LOW
26.600000000000005,87.39999999999958,0.2737,LOW
26.600000000000005,87.54999999999957,0.2341,LOW
26.600000000000005,87.89999999999955,0.366,MEDIUM
26.600000000000005,88.04999999999954,0.5432,HIGH
26.600000000000005,88.19999999999953,0.714,VERY HIGH
26.65000000000001,84.24999999999976,0.1281,LOW
26.65000000000001,84.34999999999975,0.1145,LOW
26.65000000000001,84.64999999999974,0.2264,LOW
26.65000000000001,84.99999999999972,0.3704,MEDIUM
26.65000000000001,85.2999999999997,0.1671,LOW
26.65000000000001,85.3999999999997,0.2933,LOW
26.65000000000001,85.54999999999968,0.3138,MEDIUM
26.65000000000001,85.89999999999966,0.083,LOW
26.65000000000001,86.64999999999962,0.0812,LOW
26.65000000000001,86.74999999999962,0.4074,HIGH
26.65000000000001,86.84999999999961,0.3406,MEDIUM
26.65000000000001,86.89999999999961,0.2544,LOW
26.65000000000001,87.34999999999958,0.2822,LOW
26.65000000000001,87.39999999999958,0.2892,LOW
26.65000000000001,87.49999999999957,0.2349,LOW
26.65000000000001,87.59999999999957,0.1817,LOW
26.65000000000001,87.79999999999956,0.3067,MEDIUM
26.65000000000001,88.04999999999954,0.5122,HIGH
26.65000000000001,88.09999999999954,0.5122,HIGH
26.700000000000006,84.14999999999976,0.1251,LOW
26.700000000000006,84.29999999999976,0.1126,LOW
26.700000000000006,84.34999999999975,0.1542,LOW
26.700000000000006,84.39999999999975,0.1285,LOW
26.700000000000006,84.49999999999974,0.2932,LOW
26.700000000000006,84.54999999999974,0.3504,MEDIUM
26.700000000000006,84.64999999999974,0.4191,HIGH
26.700000000000006,84.89999999999972,0.1558,LOW
26.700000000000006,84.99999999999972,0.2126,LOW
26.700000000000006,85.1999999999997,0.2997,LOW
26.700000000000006,85.3999999999997,0.1585,LOW
26.700000000000006,85.59999999999968,0.2809,LOW
26.700000000000006,85.74999999999967,0.303,MEDIUM
26.700000000000006,85.79999999999967,0.3788,MEDIUM
26.700000000000006,85.84999999999967,0.4767,HIGH
26.700000000000006,85.99999999999966,0.2147,LOW
26.700000000000006,86.04999999999966,0.3894,MEDIUM
26.700000000000006,86.09999999999965,0.1762,LOW
26.700000000000006,86.59999999999962,0.2024,LOW
26.700000000000006,86.64999999999962,0.3423,MEDIUM
26.700000000000006,86.69999999999962,0.5556,HIGH
26.700000000000006,86.74999999999962,0.5535,HIGH
26.700000000000006,86.79999999999961,0.5132,HIGH
26.700000000000006,86.84999999999961,0.4769,HIGH
26.700000000000006,86.89999999999961,0.4134,HIGH
26.700000000000006,86.9999999999996,0.3025,MEDIUM
26.700000000000006,87.29999999999959,0.2471,LOW
26.700000000000006,87.34999999999958,0.4587,HIGH
26.700000000000006,87.39999999999958,0.5192,HIGH
26.700000000000006,87.44999999999958,0.6525,HIGH
26.700000000000006,87.49999999999957,0.6704,HIGH
26.700000000000006,87.54999999999957,0.542,HIGH
26.700000000000006,87.59999999999957,0.5762,HIGH
26.700000000000006,87.79999999999956,0.5678,HIGH
26.700000000000006,87.84999999999955,0.6443,HIGH
26.700000000000006,87.89999999999955,0.5702,HIGH
26.700000000000006,88.04999999999954,0.7137,VERY HIGH
26.700000000000006,88.09999999999954,0.5828,HIGH
26.700000000000006,88.14999999999954,0.6351,HIGH
26.750000000000007,83.84999999999978,0.1184,LOW
26.750000000000007,84.19999999999976,0.179,LOW
26.750000000000007,84.39999999999975,0.2484,LOW
26.750000000000007,84.64999999999974,0.4028,HIGH
26.750000000000007,84.69999999999973,0.3257,MEDIUM
26.750000000000007,85.44999999999969,0.1574,LOW
26.750000000000007,85.64999999999968,0.2299,LOW
26.750000000000007,85.84999999999967,0.2555,LOW
26.750000000000007,86.14999999999965,0.2097,LOW
26.750000000000007,86.24999999999964,0.3147,MEDIUM
26.750000000000007,86.39999999999964,0.2616,LOW
26.750000000000007,86.49999999999963,0.2423,LOW
26.750000000000007,86.59999999999962,0.2465,LOW
26.750000000000007,86.64999999999962,0.4143,HIGH
26.750000000000007,86.69999999999962,0.3929,MEDIUM
26.750000000000007,86.74999999999962,0.3789,MEDIUM
26.750000000000007,86.79999999999961,0.4183,HIGH
26.750000000000007,86.84999999999961,0.291,LOW
26.750000000000007,86.89999999999961,0.2495,LOW
26.750000000000007,86.9499999999996,0.2188,LOW
26.750000000000007,86.9999999999996,0.2132,LOW
26.750000000000007,87.0999999999996,0.2308,LOW
26.750000000000007,87.24999999999959,0.3654,MEDIUM
26.750000000000007,87.29999999999959,0.5469,HIGH
26.750000000000007,87.34999999999958,0.5133,HIGH
26.750000000000007,87.54999999999957,0.2404,LOW
26.750000000000007,87.59999999999957,0.2453,LOW
26.750000000000007,87.64999999999957,0.2041,LOW
26.750000000000007,87.69999999999956,0.2125,LOW
26.750000000000007,87.74999999999956,0.4778,HIGH
26.750000000000007,87.79999999999956,0.4113,HIGH
26.750000000000007,87.84999999999955,0.3293,MEDIUM
26.750000000000007,87.89999999999955,0.2437,LOW
26.750000000000007,87.94999999999955,0.5869,HIGH
26.750000000000007,87.99999999999955,0.2503,LOW
26.750000000000007,88.04999999999954,0.2349,LOW
26.750000000000007,88.09999999999954,0.1616,LOW
26.750000000000007,88.14999999999954,0.1678,LOW
26.750000000000007,88.19999999999953,0.2032,LOW
26.800000000000008,83.4499999999998,0.1468,LOW
26.800000000000008,84.29999999999976,0.0628,LOW
26.800000000000008,84.39999999999975,0.294,LOW
26.800000000000008,84.44999999999975,0.2537,LOW
26.800000000000008,85.2999999999997,0.3758,MEDIUM
26.800000000000008,85.3499999999997,0.2201,LOW
26.800000000000008,85.44999999999969,0.182,LOW
26.800000000000008,85.59999999999968,0.2738,LOW
26.800000000000008,85.74999999999967,0.3696,MEDIUM
26.800000000000008,85.84999999999967,0.1863,LOW
26.800000000000008,85.99999999999966,0.3547,MEDIUM
26.800000000000008,86.04999999999966,0.1948,LOW
26.800000000000008,86.29999999999964,0.2476,LOW
26.800000000000008,86.34999999999964,0.2618,LOW
26.800000000000008,86.49999999999963,0.1565,LOW
26.800000000000008,86.54999999999963,0.2721,LOW
26.800000000000008,86.59999999999962,0.2561,LOW
26.800000000000008,86.74999999999962,0.5046,HIGH
26.800000000000008,86.79999999999961,0.1819,LOW
26.800000000000008,86.84999999999961,0.1621,LOW
26.800000000000008,86.89999999999961,0.1978,LOW
26.800000000000008,86.9999999999996,0.2037,LOW
26.800000000000008,87.1499999999996,0.2702,LOW
26.800000000000008,87.19999999999959,0.2198,LOW
26.800000000000008,87.24999999999959,0.2555,LOW
26.800000000000008,87.34999999999958,0.3844,MEDIUM
26.800000000000008,87.39999999999958,0.3784,MEDIUM
26.800000000000008,87.44999999999958,0.3667,MEDIUM
26.800000000000008,87.49999999999957,0.3288,MEDIUM
26.800000000000008,87.54999999999957,0.3466,MEDIUM
26.800000000000008,87.59999999999957,0.3882,MEDIUM
26.800000000000008,87.64999999999957,0.3883,MEDIUM
26.800000000000008,87.69999999999956,0.4202,HIGH
26.800000000000008,87.74999999999956,0.253,LOW
26.800000000000008,87.84999999999955,0.2063,LOW
26.800000000000008,87.89999999999955,0.2129,LOW
26.800000000000008,87.94999999999955,0.2158,LOW
26.800000000000008,87.99999999999955,0.2261,LOW
26.800000000000008,88.04999999999954,0.2133,LOW
26.800000000000008,88.09999999999954,0.3224,MEDIUM
26.800000000000008,88.14999999999954,0.3714,MEDIUM
26.800000000000008,88.19999999999953,0.1595,LOW
26.85000000000001,83.04999999999983,0.1476,LOW
26.85000000000001,83.34999999999981,0.0618,LOW
26.85000000000001,83.3999999999998,0.1256,LOW
26.85000000000001,83.84999999999978,0.1059,LOW
26.85000000000001,84.14999999999976,0.2023,LOW
26.85000000000001,84.29999999999976,0.0609,LOW
26.85000000000001,84.34999999999975,0.2815,LOW
26.85000000000001,84.54999999999974,0.1498,LOW
26.85000000000001,84.74999999999973,0.3536,MEDIUM
26.85000000000001,84.79999999999973,0.4095,HIGH
26.85000000000001,85.14999999999971,0.2018,LOW
26.85000000000001,85.54999999999968,0.2648,LOW
26.85000000000001,85.74999999999967,0.1883,LOW
26.85000000000001,86.04999999999966,0.3409,MEDIUM
26.85000000000001,86.14999999999965,0.1812,LOW
26.85000000000001,86.24999999999964,0.2536,LOW
26.85000000000001,86.39999999999964,0.2732,LOW
26.85000000000001,86.44999999999963,0.2639,LOW
26.85000000000001,86.54999999999963,0.2816,LOW
26.85000000000001,86.59999999999962,0.4021,HIGH
26.85000000000001,86.64999999999962,0.4004,HIGH
26.85000000000001,86.69999999999962,0.5458,HIGH
26.85000000000001,86.74999999999962,0.5034,HIGH
26.85000000000001,86.79999999999961,0.566,HIGH
26.85000000000001,86.84999999999961,0.4966,HIGH
26.85000000000001,86.89999999999961,0.4797,HIGH
26.85000000000001,86.9999999999996,0.4965,HIGH
26.85000000000001,87.0499999999996,0.4031,HIGH
26.85000000000001,87.0999999999996,0.347,MEDIUM
26.85000000000001,87.19999999999959,0.3868,MEDIUM
26.85000000000001,87.24999999999959,0.4191,HIGH
26.85000000000001,87.29999999999959,0.2414,LOW
26.85000000000001,87.34999999999958,0.2059,LOW
26.85000000000001,87.39999999999958,0.568,HIGH
26.85000000000001,87.44999999999958,0.5659,HIGH
26.85000000000001,87.49999999999957,0.5672,HIGH
26.85000000000001,87.54999999999957,0.5628,HIGH
26.85000000000001,87.59999999999957,0.5571,HIGH
26.85000000000001,87.64999999999957,0.5601,HIGH
26.85000000000001,87.69999999999956,0.5917,HIGH
26.85000000000001,87.79999999999956,0.5653,HIGH
26.85000000000001,87.84999999999955,0.5246,HIGH
26.85000000000001,87.89999999999955,0.4025,HIGH
26.85000000000001,87.94999999999955,0.5715,HIGH
26.85000000000001,87.99999999999955,0.5999,HIGH
26.85000000000001,88.04999999999954,0.4161,HIGH
26.85000000000001,88.09999999999954,0.3849,MEDIUM
26.85000000000001,88.14999999999954,0.4166,HIGH
26.85000000000001,88.19999999999953,0.3714,MEDIUM
26.90000000000001,83.04999999999983,0.1409,LOW
